SampleRTTs	ExpAvgs		AriAvgs
27 		 85.625 	 27.000
11 		 76.297 	 19.000
15 		 68.635 	 17.667
10 		 61.305 	 15.750
21 		 56.267 	 16.800
10 		 50.484 	 15.667
27 		 47.548 	 17.286
10 		 42.855 	 16.375
13 		 39.123 	 16.000
13 		 35.858 	 15.700
11 		 32.750 	 15.273
11 		 30.032 	 14.917
11 		 27.653 	 14.615
38 		 28.946 	 16.286
38 		 30.078 	 17.733
37 		 30.943 	 18.938
45 		 32.700 	 20.471
24 		 31.613 	 20.667
29 		 31.286 	 21.105
20 		 29.875 	 21.050
37 		 30.766 	 21.810
22 		 29.670 	 21.818
23 		 28.836 	 21.870
10 		 26.482 	 21.375
49 		 29.297 	 22.480
15 		 27.510 	 22.192
31 		 27.946 	 22.519
56 		 31.453 	 23.714
43 		 32.896 	 24.379
44 		 34.284 	 25.033
21 		 32.624 	 24.903
33 		 32.671 	 25.156
38 		 33.337 	 25.545
32 		 33.170 	 25.735
46 		 34.773 	 26.314
38 		 35.177 	 26.639
46 		 36.530 	 27.162
26 		 35.213 	 27.132
10 		 32.062 	 26.692
54 		 34.804 	 27.375
67 		 38.829 	 28.341
18 		 36.225 	 28.095
63 		 39.572 	 28.907
30 		 38.375 	 28.932
45 		 39.203 	 29.289
41 		 39.428 	 29.543
32 		 38.500 	 29.596
10 		 34.937 	 29.188
30 		 34.320 	 29.204
12 		 31.530 	 28.860
12 		 29.089 	 28.529
17 		 27.578 	 28.308
61 		 31.755 	 28.925
14 		 29.536 	 28.648
29 		 29.469 	 28.655
36 		 30.285 	 28.786
49 		 32.625 	 29.140
33 		 32.672 	 29.207
25 		 31.713 	 29.136
21 		 30.374 	 29.000
54 		 33.327 	 29.410
45 		 34.786 	 29.661
43 		 35.813 	 29.873
23 		 34.211 	 29.766
63 		 37.810 	 30.277
28 		 36.584 	 30.242
44 		 37.511 	 30.448
45 		 38.447 	 30.662
57 		 40.766 	 31.043
21 		 38.295 	 30.900
31 		 37.383 	 30.901
37 		 37.335 	 30.986
68 		 41.168 	 31.493
29 		 39.647 	 31.459
40 		 39.691 	 31.573
56 		 41.730 	 31.895
64 		 44.514 	 32.312
93 		 50.575 	 33.090
48 		 50.253 	 33.278
44 		 49.471 	 33.413
45 		 48.912 	 33.556
42 		 48.048 	 33.659
69 		 50.667 	 34.084
75 		 53.709 	 34.571
50 		 53.245 	 34.753
92 		 58.090 	 35.419
63 		 58.703 	 35.736
59 		 58.740 	 36.000
55 		 58.273 	 36.213
67 		 59.364 	 36.556
10 		 53.193 	 36.264
16 		 48.544 	 36.043
34 		 46.726 	 36.022
10 		 42.135 	 35.745
11 		 38.243 	 35.484
10 		 34.713 	 35.219
10 		 31.624 	 34.959
10 		 28.921 	 34.704
10 		 26.556 	 34.455
